_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude,neighborhood
3186647,0012F00003000000,"1911 WHARTON ST, PITTSBURGH, PA 15203",1911, ,,WHARTON,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,117,17th Ward - PITTSBURGH,6/12/2024,6/4/2024,270000,19700,474,0,VALID SALE,DE,DEED,40.43063,-79.978412,South Side Flats
3186661,0022H00175000000,"0 MCCULLOUGH ST, PITTSBURGH, PA 15212",0, ,,MCCULLOUGH,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,125,25th Ward - PITTSBURGH,5/8/2024,4/10/2024,2500,19663,187,GV,GOVERNMENT SALE,TS,TREASURER DEED,40.45867,-80.016777,California-Kirkbride
3186671,0055B00176000000,"4213 STANLEY ST, PITTSBURGH, PA 15207",4213, ,,STANLEY,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,7/10/2024,7/8/2024,150000,19729,557,14,TIME ON MARKET (INSUFF/EXCESS),FD,FIDUCIARY DEED,40.42279,-79.943446,Greenfield
3186678,0084G00010000000,"6020 CENTRE AVE, PITTSBURGH, PA 15206",6020, ,,CENTRE,AVE,,,PITTSBURGH,PA,15206,47,Pittsburgh,107,7th Ward - PITTSBURGH,7/23/2024,7/19/2024,1,19744,242,3,LOVE AND AFFECTION SALE,DE,DEED,40.459989,-79.92411,Shadyside
3186685,0085F00068000001,"1036 MURRAY HILL AVE, PITTSBURGH, PA 15217",1036, ,,MURRAY HILL,AVE,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,8/26/2024,8/23/2024,595000,19780,398,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.4489,-79.92729,Squirrel Hill North
3186689,0026H00101000000,"4694 LORIGAN ST, PITTSBURGH, PA 15224",4694, ,,LORIGAN,ST,,,PITTSBURGH,PA,15224,47,Pittsburgh,108,8th Ward - PITTSBURGH,11/19/2024,9/15/2024,1,19867,253,3,LOVE AND AFFECTION SALE,DE,DEED,40.4591,-79.95259,Bloomfield
3186692,0131N00067000000,"0 BENEZET ST, HOMESTEAD, PA 15120",0, ,,BENEZET,ST,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,11/21/2024,11/15/2024,2000,19870,138,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.396352,-79.914815,New Homestead
3186698,0185M00124000000,"1135 MULDOWNEY AVE, PITTSBURGH, PA 15207",1135, ,,MULDOWNEY,AVE,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,11/29/2024,11/26/2024,96500,19879,459,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.368968,-79.916189,Lincoln Place
3186708,0022C00084000000,"1932 SEDGWICK ST, PITTSBURGH, PA 15212",1932, ,,SEDGWICK,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,121,21st Ward - PITTSBURGH,12/9/2024,12/2/2024,285000,19887,91,0,VALID SALE,SW,SPECIAL WARRANTY,40.460061,-80.023973,California-Kirkbride
3186715,0174F00303000000,"7227 IDLEWILD ST, PITTSBURGH, PA 15208",7227, ,,IDLEWILD,ST,,,PITTSBURGH,PA,15208,47,Pittsburgh,113,13th Ward - PITTSBURGH,10/8/2024,9/16/2024,33000,19826,318,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.458066,-79.894673,Homewood North
