_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185158,0573L00019920800,"9208 SUNDANCE DR, BRIDGEVILLE, PA 15017",9208, ,,SUNDANCE,DR,,,BRIDGEVILLE,PA,15017,36,South Fayette Twp,946,South Fayette  ,2024-09-23,2024-08-06,330000.0,19808,200.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.320364,-80.138698
3185159,0973G00058000000,"9000 SALTSBURG RD, PITTSBURGH, PA 15239",9000, ,,SALTSBURG,RD,,,PITTSBURGH,PA,15239,31,Plum Boro,880,Plum  ,2024-09-27,2024-07-23,1.0,19815,561.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.4769,-79.73989
3185160,0021A00025000000,"0 SANFORD ST, PITTSBURGH, PA 15204",0, ,,SANFORD,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-09-25,2024-09-20,55000.0,19812,303.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.460103,-80.049434
3185161,0318B00608000000,"608 KINGSBERRY CIR, PITTSBURGH, PA 15234",608, ,,KINGSBERRY,CIR,,,PITTSBURGH,PA,15234,26,Mt Lebanon,926,Mt.Lebanon  ,2024-09-30,2024-09-30,483000.0,19817,32.0,0,VALID SALE,DE,DEED,40.35502,-80.04134
3185162,0030A00179000000,"0 HARCUM WAY, PITTSBURGH, PA 15203",0, ,,HARCUM,WAY,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2024-10-02,2024-10-01,1.0,19820,346.0,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,40.425814,-79.971156
3185163,0068D00122000000,"3 PARKVIEW ST, PITTSBURGH, PA 15205",3, ,,PARKVIEW,ST,,,PITTSBURGH,PA,15205,7,Carlynton,818,Crafton  ,2024-10-07,2024-10-02,50000.0,19825,19.0,0,VALID SALE,DE,DEED,40.431098,-80.069477
3185164,0364G00169000000,"536 NORTH AVE, VERONA, PA 15147",536, ,,NORTH,AVE,,,VERONA,PA,15147,33,Riverview,859,Verona  ,2024-10-09,2024-09-20,51000.0,19827,551.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.5084,-79.83748
3185165,0017P00148000000,"1014 AVACOLL DR, PITTSBURGH, PA 15220",1014, ,,AVACOLL,DR,,,PITTSBURGH,PA,15220,22,Keystone Oaks,831,Greentree  ,2024-10-07,2024-10-02,178019.0,19825,246.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.415312,-80.043598
3185166,0173J00376000100,"7131 VASSAR ST, PITTSBURGH, PA 15206",7131, ,,VASSAR,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-10-18,2024-10-14,26500.0,19836,175.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.467322,-79.895726
3185167,0176F00405000000,"556 MIFFLIN AVE, PITTSBURGH, PA 15221",556, ,,MIFFLIN,AVE,,,PITTSBURGH,PA,15221,46,Wilkinsburg Boro,866,Wilkinsburg  ,2024-10-21,2024-10-16,250000.0,19837,274.0,H,MULTI-PARCEL SALE,DE,DEED,40.439476,-79.893719
3185168,0102G00218000000,"127 BOROVIEW AVE, CARNEGIE, PA 15106",127, ,,BOROVIEW,AVE,,,CARNEGIE,PA,15106,8,Chartiers Valley,941,Scott  ,2024-10-21,2024-09-18,1.0,19838,222.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.400922,-80.089374
3185169,0059N00095000000,"201 HORNADAY RD, PITTSBURGH, PA 15210",201, ,,HORNADAY,RD,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-10-23,2024-09-17,1.0,19841,48.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.395263,-79.982785
3185170,0499G00315000000,"113 LONDON PLANE DR, CORAOPOLIS, PA 15108",113, ,,LONDON PLANE,DR,,,CORAOPOLIS,PA,15108,25,Moon Area,925,Moon  ,2024-09-26,2024-09-19,381491.0,19813,13.0,27,NO ASSESSED VALUATION,DE,DEED,40.46841,-80.18751
3185171,0928M00347000000,"140 SWEETWATER DR, CORAOPOLIS, PA 15108",140, ,,SWEETWATER,DR,,,CORAOPOLIS,PA,15108,25,Moon Area,925,Moon  ,2024-10-16,2024-10-10,371847.0,19832,384.0,27,NO ASSESSED VALUATION,DE,DEED,40.55438,-80.25118
3185172,0096K00124000000,"1509 WAREMAN AVE, PITTSBURGH, PA 15226",1509, ,,WAREMAN,AVE,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-10-30,2024-09-25,302500.0,19847,312.0,0,VALID SALE,DE,DEED,40.38921,-80.01057
